date,long_gross,short_gross,stock_gross,hedge_gross,gross_exposure,net_exposure,turnover,net_XLK_exposure
2021-12-08,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-09,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-10,0.05,0.046200232747761694,0.05,0.046200232747761694,0.0962002327477617,0.003799767252238309,0.0962002327477617,0.0
2021-12-13,0.0,-0.0,0.0,0.0,0.0,0.0,0.0962002327477617,0.0
2021-12-14,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-15,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-17,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-20,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-21,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-22,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-23,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-27,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-28,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-29,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-30,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-07,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-10,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-11,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-12,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-18,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-19,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-20,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-21,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-24,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
