,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,ADBE,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,CRM,CRM,CRM,CRM,CRM,CRM,CRM,CRM,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,INTC,INTC,INTC,INTC,INTC,INTC,INTC,INTC,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,ORCL,ORCL,ORCL,ORCL,ORCL,ORCL,ORCL,ORCL,QCOM,QCOM,QCOM,QCOM,QCOM,QCOM,QCOM,QCOM,TXN,TXN,TXN,TXN,TXN,TXN,TXN,TXN
,displacement_score,dollar_volume_zscore,relative_volume,residual_level,residual_volatility,trend_r2,trend_score,trend_slope,displacement_score,dollar_volume_zscore,relative_volume,residual_level,residual_volatility,trend_r2,trend_score,trend_slope,displacement_score,dollar_volume_zscore,relative_volume,residual_level,residual_volatility,trend_r2,trend_score,trend_slope,displacement_score,dollar_volume_zscore,relative_volume,residual_level,residual_volatility,trend_r2,trend_score,trend_slope,displacement_score,dollar_volume_zscore,relative_volume,residual_level,residual_volatility,trend_r2,trend_score,trend_slope,displacement_score,dollar_volume_zscore,relative_volume,residual_level,residual_volatility,trend_r2,trend_score,trend_slope,displacement_score,dollar_volume_zscore,relative_volume,residual_level,residual_volatility,trend_r2,trend_score,trend_slope,displacement_score,dollar_volume_zscore,relative_volume,residual_level,residual_volatility,trend_r2,trend_score,trend_slope,displacement_score,dollar_volume_zscore,relative_volume,residual_level,residual_volatility,trend_r2,trend_score,trend_slope,displacement_score,dollar_volume_zscore,relative_volume,residual_level,residual_volatility,trend_r2,trend_score,trend_slope,displacement_score,dollar_volume_zscore,relative_volume,residual_level,residual_volatility,trend_r2,trend_score,trend_slope,displacement_score,dollar_volume_zscore,relative_volume,residual_level,residual_volatility,trend_r2,trend_score,trend_slope
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
