date,AAPL_XLK,AAPL_alpha,MSFT_XLK,MSFT_alpha,NVDA_XLK,NVDA_alpha,AVGO_XLK,AVGO_alpha,AMD_XLK,AMD_alpha,ADBE_XLK,ADBE_alpha,CRM_XLK,CRM_alpha,CSCO_XLK,CSCO_alpha,INTC_XLK,INTC_alpha,ORCL_XLK,ORCL_alpha,QCOM_XLK,QCOM_alpha,TXN_XLK,TXN_alpha
2020-04-07,0.9970587249287755,-0.0007249842751124343,1.033079612076978,0.0024261525262860937,1.2400686448735752,0.004179144723777438,1.1276647176497694,-0.0009261910524276072,1.0692770004893972,0.0016750491053706016,1.005263707634832,0.0009679050092096114,0.9097835435977139,-0.0014246546613040894,0.8879209833624457,-0.0004085242626748931,1.1512698530089591,0.0020965287226256627,0.871832235705385,0.0008640507455201194,1.017993741784304,-0.001875589719524701,0.9498748999613442,-0.0011791902453461439
2020-04-08,0.9971876922416752,-0.0008456370926752284,1.0333158526358424,0.0024383555474924976,1.2418355466766287,0.0036396708229781156,1.1267470891771034,-0.00036046808322061797,1.0687091220871519,0.002083010135044867,1.006767367556922,0.0005728797877358445,0.9102471957521816,-0.0016605911034946047,0.8885874645214931,-0.0005621772891420086,1.1507828564362141,0.00231643278251803,0.8722860560465415,0.0007025484725133619,1.01579895129634,-0.0014188783777911614,0.9508108825511039,-0.0013201086171318677
2020-04-09,0.9958719658055699,-0.0010135976322833595,1.028688070594608,0.002153832668239084,1.2386773152834267,0.003329255484816399,1.1278929851840211,-0.00022441648692821852,1.06789791615914,0.0020563753125034776,1.0060319275283702,0.0004910995067466469,0.9135866424118189,-0.0015213608600069572,0.8886062592892027,-0.000620269551944327,1.1456661815058207,0.002018139566870017,0.8741704861258007,0.0009052903527203603,1.0118269743466126,-0.001658834456510189,0.9553186422168831,-0.000926253986945419
2020-04-13,0.9958151566972389,-0.0007495429606565677,1.028532017361528,0.0021873796397713307,1.2379097544699307,0.0032877100840143646,1.1281434021134273,-0.001139876839687472,1.0674912294524093,0.002010703245423365,1.0061419849456013,0.0005361655626897586,0.9139313556520059,-0.0010645690773743875,0.8884008494199668,-0.0008484215811327505,1.1450571470521518,0.001438962022517499,0.8747433231287104,0.0010751299683671965,1.0114570425598959,-0.002070377762185609,0.9551950525154446,-0.0014769499462593126
2020-04-14,0.9965888731690417,-0.00037038573565746267,1.0283693769548292,0.002098430711391064,1.2389364420849414,0.003814826172548138,1.1293253878933658,-0.0005187380768549091,1.0690975756396333,0.0027385055185574427,1.0064375718228327,0.0007023332158139033,0.9135686411369426,-0.0012068064685334962,0.8882603940125785,-0.0009329983397738612,1.1461790468369515,0.002007456657307812,0.8746046482358217,0.0010297986848355608,1.0125463647777138,-0.001526110811342018,0.9554613653163027,-0.00130419026599557
2020-04-15,0.9999109173216981,-0.00021253669434342058,1.0295511068073555,0.0021273802100724762,1.2384060042921825,0.003864235916336103,1.1233306871590196,-0.0007748470479564615,1.07883327110158,0.00309933833858182,1.014387793527761,0.0011440853330392461,0.9128147213150034,-0.0012192688593808336,0.8874969278892861,-0.001082363852002276,1.1407763018734358,0.0018158165784727765,0.8680578063165366,0.0007352911826299232,1.0171707403601074,-0.0014376324635973275,0.9529913099530223,-0.0013759419271354896
2020-04-16,0.9972459173376216,-7.44139809177452e-05,1.0280268155653387,0.002349549161132041,1.2370067728533511,0.004248351922026725,1.1257749673746587,-0.000973058262940682,1.0740087512151755,0.003241866644839186,1.0146089783800207,0.001014952794408297,0.9119389890746991,-0.0009625598849242445,0.8895529390502044,-0.0011412354548233795,1.1427401930446779,0.0018838049182153826,0.868474245539311,0.0009813166284171298,1.0136483431483085,-0.002026948519714348,0.9533290852194429,-0.001566761388904346
2020-04-17,0.9968208307233998,-3.792453195649507e-05,1.029866463110712,0.002690984371367237,1.2405911369067104,0.004888787357017225,1.12465691754458,-0.0011158996291636843,1.0762757802053773,0.0035659451638033234,1.0166274433311782,0.0012952405096951086,0.9116372732227436,-0.0012766121529974033,0.888366693134865,-0.0012618107082590323,1.1445603883037216,0.0019196674347470876,0.8682962975894971,0.0009410945020333578,1.0138965291691007,-0.0018106796583061302,0.9559202021259525,-0.00113662742052145
2020-04-20,0.9933819698786515,-0.0004894417801425785,1.0293996156260168,0.002752088258700037,1.236859237886112,0.004408553462578015,1.1260569129959863,-0.0010692297469212498,1.0732038230794352,0.0031629880103690427,1.0154779064385049,0.0011965513940631859,0.9154195919648629,-0.0006088301331835006,0.8898708616362362,-0.001101252300606379,1.1401630541875956,0.0010223854023676967,0.869469001867015,0.0012386592863668409,1.0120937184076915,-0.001844488122920248,0.9561826639988198,-0.0012819304982915588
2020-04-21,0.9939214218995295,-0.0006728258904832741,1.0301605159884177,0.002571690366516528,1.23716328184634,0.0042250987743568304,1.1272092734892465,-0.001629269685460823,1.070578525534183,0.00344168063986365,1.0132584518784584,0.001400084048702913,0.9133680169723761,-0.0003326666025493027,0.8877343937040962,-0.0008411918509437036,1.1404277181792641,0.0008193696442589217,0.8694891415837807,0.0011563695116258356,1.0129428675789343,-0.0018302953891220987,0.9563066881614309,-0.0014580723675161641
2020-04-22,0.9899244082904984,-0.0004267047287559865,1.0308672193441255,0.002796007207883776,1.242646091599077,0.004255256496505979,1.1240341521432813,-0.0017336446405636055,1.082517532419867,0.0034734588859355276,1.0151933491274305,0.0013824522915213144,0.9268277019072211,-0.0009073024696382914,0.8910017493416618,-0.000927620252124361,1.1382488186785407,-0.00046407844136285917,0.8747602060259229,0.0012631269703299378,1.009808088868944,-0.0012250219018442813,0.9574161126058409,-0.0009983464689085147
2020-04-23,0.985975285958529,-0.000482505223935117,1.0290793949714707,0.0025680758421152815,1.2424187861069518,0.004670317263846994,1.123069120655067,-0.0012966776847388466,1.0862643052145275,0.00364609194124556,1.011707765332,0.0009334668018609737,0.9262854871135344,-0.0013436528799781967,0.8886741119638615,-0.0008821638521419703,1.1428904175011352,0.00013020884510732975,0.8683095702279259,0.0010917023596942828,1.0096760067662212,-0.0011299664199954135,0.9596823920650223,-0.0006529779805098015
2020-04-24,0.9841012622370415,-0.0005909165733974128,1.0298861415250062,0.0024864536881226583,1.2419308216485119,0.0045488688071782715,1.1211411330092325,-0.0013764087186459947,1.0858965180170845,0.0036831031003584434,1.0112831372156104,0.0009317304772944617,0.9274275979683776,-0.0014025141265495,0.8902387282164483,-0.0006574618228640378,1.142867449352424,-8.015756528712394e-05,0.8688893334146399,0.0011290526197998089,1.008794074668975,-0.0012892789166429612,0.9606606669700734,-0.0006923082343233244
2020-04-27,0.9850579131250068,-0.000762216992471845,1.0283710834180584,0.0022119422836667036,1.2404063002417032,0.004654014930117606,1.1213421799580254,-0.0013037874525786792,1.0841609634926244,0.004457764982212314,1.0123845303968748,0.0011917098133118447,0.9270420953857055,-0.0013423987225595025,0.8914774462928848,-0.000318935295264756,1.1396054704382559,-0.00012927188711021995,0.869266233994119,0.0012746140395976104,1.0111045664069411,-0.0009261720930319468,0.9636328719009294,-0.0001316089115002174
2020-04-28,0.9852544675809746,-0.0007248507450485179,1.0257288383002823,0.0016976244239727291,1.2425230251327413,0.005065948085787732,1.123159607100172,-0.0009504872717003108,1.0823648411416615,0.0041082821125742325,1.0122471678708114,0.0011653742960000995,0.927228123408999,-0.0013044087252198663,0.8922232072355987,-0.0001736130237746528,1.1397394325823669,-0.00010395412836617952,0.8696795873382767,0.0013546149356776938,1.0114897971091463,-0.0008523647526792674,0.9657695832078589,0.0002839475269044011
2020-04-29,0.9815892906660524,-0.0004829790210980538,1.0297632677463722,0.0012930169905592554,1.2412005751206516,0.00508992301162193,1.1229090374851953,-0.0009138924045622892,1.0805626461424556,0.004173598712021241,1.018086541568604,0.00045752537410239237,0.929923887094949,-0.0015580554426679759,0.8918352031285812,-0.00015651888680149532,1.1377823806522898,6.58480405997205e-05,0.8704390329421201,0.0013643982868060288,1.0110450755664264,-0.0007724690995225285,0.9648947659150704,0.0003402717266035494
2020-04-30,0.9810590720359176,-0.0003421999076131737,1.0290774527418134,0.0011576174358297283,1.2310382479336368,0.004649482815339555,1.1236524641153194,-0.0007280799656101684,1.0518467865595413,0.002738685268186668,1.0190526354363671,0.00044393204645337556,0.9299047779704718,-0.0016278452064780774,0.886238304752276,-0.00043562770392987637,1.140316757981234,0.00027051084991675954,0.8622861061674295,0.0009740218584769918,1.0136337039161485,-0.0006584930410276603,0.9655151325276717,0.0002657779679351393
2020-05-01,0.9786493409926845,-4.290086539320763e-05,1.027649040258752,0.0013025046882433832,1.23356019461376,0.004461449033370575,1.1257045306172493,-0.0007693472147797219,1.0525689857933131,0.0023831145982766244,1.0192236564449706,0.0007693218952170859,0.9310731738231808,-0.0012594380333349087,0.8865606828616827,-0.000746430584221236,1.1441678680970042,8.70408077342788e-05,0.8639450872499373,0.000832672118601938,1.0130437348358496,-0.0006759177550683061,0.9663123028497463,-0.00012605366336393637
2020-05-04,0.9760581838541563,9.558972223523915e-05,1.027971416134259,0.0014630870425240252,1.234062369927596,0.004361041936655318,1.127683447940693,-0.0011879963736860012,1.0574842087037364,0.0020341091413899636,1.0199862518812226,0.0009286398836892977,0.9340787688137355,-0.001061342434764984,0.887832302172305,-0.0011186714302041355,1.1451655590804406,-0.00045323437227770633,0.8633336230233138,0.0007264438018438321,1.014226011819037,-0.0011266694226570915,0.9700894340793076,-0.0012844168250309596
2020-05-05,0.9759495113891858,6.903389939535705e-05,1.028236103178893,0.0014540629925283576,1.2353711170891737,0.004542973184732159,1.127357908438623,-0.0012230340789298492,1.064156538885825,0.003021198619927395,1.0205532776186759,0.0010266386353346465,0.9368003246319794,-0.0006962968204092649,0.8880007961148367,-0.0010871609982210566,1.1457128269803092,-0.0003183644322457091,0.862538296715047,0.0006622424113320075,1.0137893242348728,-0.0011328784605414536,0.9701790199200409,-0.0012410229673567293
2020-05-06,0.9756720379940855,0.0002127206550567994,1.028232058575724,0.001216730117501077,1.2334622085508384,0.004384389832116859,1.1266483055277028,-0.0012543558239093205,1.0619871424126133,0.00235690131349384,1.0214849787458926,0.0010332719051516846,0.9369067196689366,-0.00077991409170902,0.8865577244833865,-0.0011349923634479207,1.1450737365952124,-0.0002708117166241317,0.8621706395684138,0.0004264008272820113,1.0137573664845234,-0.0004978021638795858,0.9685926405178588,-0.000969326331863294
2020-05-07,0.9769603681511385,0.00039961904524761743,1.026912655089152,0.0010454405690350612,1.2304887120862316,0.003987975435649481,1.128035833478285,-0.0011339730620007465,1.056920613345834,0.0016133836047597609,1.0227076780934623,0.0012516574378882166,0.9357967413648591,-0.0009520727624128288,0.8845256522590226,-0.0014887239443206438,1.146182921233247,-0.00013178617954743557,0.8622255282359836,0.00036549839780311913,1.0143916545070342,-0.00035974759344556536,0.969294533267053,-0.0008677122524186238
2020-05-08,0.9762705406828674,0.00037391261004931446,1.025111546030975,0.0012078288654526603,1.2309858373473563,0.0036969064212496894,1.1281560330430784,-0.0015664862629962703,1.054562231719525,0.000737597562217672,1.0220593945181178,0.001166869153941465,0.9391910329536424,-0.0006090178202859601,0.8838361375426457,-0.0017582647231584594,1.1441977710083064,-0.0007399206274701588,0.8624550377397634,0.00029117704057111265,1.0126625546529933,-0.0009402847239527133,0.9691479730460542,-0.001115868765202129
2020-05-11,0.9758291021501787,0.00026747889393189967,1.0248346577319198,0.0012160509917345792,1.2313714123305264,0.00374469460824527,1.1293927867166018,-0.001423923728355082,1.0566090352739663,0.0010386362958991451,1.0200598361547626,0.0009084070101752782,0.9428378754116284,-0.0001164588771773974,0.8866166040030119,-0.001439855661024669,1.1442936417668548,-0.0006842691314689231,0.8630864243925958,0.0003675800523031187,1.0128082134945786,-0.0009578474736928408,0.9686115593759989,-0.0011988797294385806
2020-05-12,0.9763366946502168,0.0004963811975782814,1.0249804001706702,0.0013330311747393967,1.2325659397222621,0.004194613972051857,1.1291180625540866,-0.0015389872041919142,1.059299684138931,0.001461671952840647,1.0202928989390165,0.0009027714612166834,0.9448575050561365,0.0004415068259890595,0.8861419540045035,-0.0005552272295072357,1.144391054079982,-0.0007282382766461346,0.8625680593164815,0.0003471702451636541,1.0121681848657988,-0.0008217750723298139,0.9682989067200991,-0.0014154460886728292
2020-05-13,0.9751866839490199,0.0007089145289745845,1.0252954434254935,0.0012337900681748456,1.2316300308821957,0.0030273411515251633,1.1302948554382144,-0.0011672074350540815,1.061437057994955,0.001069968257775355,1.0194033521246988,0.0008303841966676831,0.946244587136159,0.0002500893684048817,0.883931649602481,-0.00010121559783302634,1.1454953391566567,-0.000693543195532166,0.8636326089811298,0.0002656959322929766,1.0132245812579286,-0.0007476878617403032,0.9697211657424909,-0.001400758228785104
2020-05-14,0.9743800102479635,0.0010349006977167534,1.0253362701715,0.0010448905925399634,1.2300150529748037,0.0028711735035100864,1.1298882075163657,-0.0008708364078340602,1.0636117000353704,0.0003484371697802177,1.01957381551863,0.0007973072105760482,0.9502657237966737,-0.00038628200882849864,0.8857416454925039,-0.00025882347024152957,1.1440501950668103,-0.0003396691114435019,0.8633069696893048,0.00026871227742365084,1.0112877583830395,-0.0003153699026614066,0.9704028622448422,-0.0014519463874197787
2020-05-15,0.9733044761807756,0.0008822333057204619,1.0256348847233026,0.001099108063649633,1.2268592462109071,0.0023883506832181826,1.1294692888909497,-0.0009327389278673077,1.0647338599692566,0.0004851796556569585,1.0170004743150445,0.0004373352937610006,0.9471618819358001,-0.000820374794677826,0.8916398237042459,0.0005848621099145472,1.144954349809708,-0.00021406254602812603,0.8660670136574827,0.0006662403106486362,1.0107447047993907,-0.0004074716736705761,0.9700203856682014,-0.001509683331051555
2020-05-18,0.9725935699987065,0.0007027501064841764,1.0256410988940776,0.0013316090942131961,1.2287430179232006,0.0033236355731672577,1.1273406572029039,-0.0012751007307842963,1.0627859879020938,0.0005799674406932002,1.0181020048375515,0.0008233802644462056,0.9493413025484714,-0.000677728152273249,0.8934587143301699,0.0003154670671078701,1.142939360093161,-0.00032256334958775555,0.8665386052750399,0.0004252157642247881,1.007553347030069,-0.0013496439732968409,0.968725125694186,-0.0018748271507529417
2020-05-19,0.9721084752659752,0.0007123389687649132,1.0202930353658168,0.0012208528040164336,1.2236913205730884,0.003671475659362951,1.1342580735613113,-0.0010747934437251813,1.049810965882497,0.0010646236075235326,1.0154766164275015,0.0004141675060065963,0.9464930511745777,-0.0009716686047123333,0.8940550826787349,0.00011125398799712851,1.1447101331326377,-0.0004667477731268015,0.863755582637101,6.986309277837106e-05,1.0132677606530858,-0.0007794471409718496,0.9759999865531194,-0.001323404753741275
2020-05-20,0.9688660656855221,0.0006935423176883817,1.0192077995367919,0.0010696812593933179,1.2145404766948502,0.0040759540064977725,1.1360910537709559,-0.0013062040068216741,1.0364079988178219,0.0018953970257244257,1.0156343165190738,0.0005475487133901646,0.9548584746689318,-0.0010324529494684879,0.8889706263090442,0.00011535234066416344,1.1476171313064967,-0.0005464074231600331,0.8627827097965498,-0.00020736862800571518,1.0126165304642332,-0.001208309733629241,0.9704819278293192,-0.0013703519643139598
2020-05-21,0.9683135769641193,0.0008232037626352717,1.0229927612290388,0.0007207727428329087,1.2122214867809549,0.004125456411071915,1.139203281762659,-0.001282265720663141,1.036223416145,0.0018845231867748603,1.0188752702185933,0.0006997898183001849,0.9557795961596327,-0.001280419629538572,0.8895145876465924,0.00020520055880593035,1.1523673318349112,-0.00014204309838885773,0.8612889831261422,-0.00016716751775634937,1.0137066313510794,-0.0008446870495886097,0.9760370673204477,-0.0010223011430817942
2020-05-22,0.9672960477291866,0.0007367627286112777,1.0225593747054864,0.0006296033390124991,1.2129680597284076,0.003782294188584289,1.1385464104411476,-0.001350229767578052,1.0388418116669145,0.0017096297244723292,1.017485648197615,0.0007839500987316142,0.9556764047000642,-0.0009201778479574192,0.890802950969837,0.00041167059529852385,1.1527816856329174,-6.143818022873084e-05,0.8607871679514718,-0.00046839541882553483,1.0163344282456785,-0.0009681819725803891,0.9785527103684875,-0.0013593731936912433
2020-05-26,0.9599597721338413,0.0010296422546194495,1.0139653923219343,0.0008614020190346732,1.216135596062846,0.004017450659593004,1.1495757683377528,-0.0016666169209114806,1.0287771436631867,0.002128937494319377,1.0253243137546877,0.0005726212002654697,0.9637254527954482,-0.0009913052471412099,0.8895314565047455,0.0004932173361893522,1.1516819715041926,-1.7971029067600413e-05,0.8726586610375401,-0.00079600756578475,1.0212083877729192,-0.0010307274619737526,0.9819173101276718,-0.0015190326185642365
2020-05-27,0.9605925461066686,0.0010635579012685293,1.013361726537326,0.0004325424038136446,1.2140505928966276,0.0025015828868954395,1.14974083147816,-0.0010996463915279998,1.0283580131153052,0.0011210727563521925,1.0250557515074588,-2.792361291758692e-05,0.9647435864182994,-0.0008086937427358671,0.8900940690760532,0.0006441713313227054,1.1524015483060714,0.00026251553557544386,0.8742995147858181,-0.0001830376109818164,1.020058995902518,-0.0015365806413106854,0.9812641635558074,-0.0011901368161909855
2020-05-28,0.9434323095773972,0.0004716755196740451,1.0096104886095651,0.00023651983558042248,1.23644453745044,0.002750265776343263,1.1600499214677282,-0.0005501624548374871,1.0358449207206348,0.0011306572589529287,1.0319493181633292,4.986399784048226e-05,0.9729802040509592,-0.0006044714316809142,0.9010633433259442,0.0012885453601764595,1.162146079801686,0.0007700802310723871,0.8846262418664858,0.00020073298442323207,1.034346794069003,-0.0008913879418591579,0.9881779387711841,-0.000760472927124257
2020-05-29,0.9447625112840818,0.00043738240680713924,1.0058727308812536,0.00040341913044687847,1.2388704985342387,0.002562874512662937,1.163027304640471,-0.0008852409508438254,1.0451232807273583,0.0004169953997397169,1.0338011976196178,0.00018292004816062007,0.9705512975922727,-6.637308163464739e-05,0.9033919712132793,0.0010647048387492383,1.1649796607689273,0.00020515917282564844,0.8817685113491024,0.0004785264236461255,1.0404800881457017,-0.0013633726654383648,0.9866378706830548,-0.0009030584237500817
2020-06-01,0.9413124698894796,0.00013240369963015417,1.0081003742642636,0.00046444269816270465,1.2367841534276676,0.0027913023167716214,1.1676903191952193,-0.0005121848621126516,1.038300656114882,0.0004296630535895289,1.0343241347409418,0.000259152758926608,0.9669014298544264,-0.0007882615772208413,0.9095155686860344,0.0017457831053496152,1.1662439631407056,0.00031787047433355295,0.8821636449052398,0.00039142577880633695,1.043771812133436,-0.000947038717828434,0.9863562236415454,-0.000760258373438485
2020-06-02,0.9402167300376775,0.00038877061202103507,1.0101545505137348,0.0003135510929381351,1.2358815457255894,0.0026777486351798807,1.1668550676750544,-0.0005228027052493249,1.0358876656130935,0.0005091408262695109,1.0332804870299845,0.00044300971662848145,0.9656642267855498,-0.000561550861689295,0.904519234868436,0.0014816872463746164,1.1687898787841626,-9.269730839787395e-05,0.8749535550959308,0.0005713516121050688,1.0445078017506113,-0.0011945213424335178,0.9849919684261634,-0.0007871871602877586
2020-06-03,0.9412718086861505,0.0002053953007441578,1.0086496411119548,0.00046555157522605714,1.2343282756814946,0.002531867706750176,1.1699434094864667,-0.0003865955509146136,1.0419230222033085,-0.0002252665643569941,1.0283683331193443,0.0006464117097426474,0.9615939726190712,-0.0006997303232892274,0.9092133529709081,0.0011751286706745748,1.1691770307971125,-0.00026990819666522373,0.8756949993230922,0.00041130181135236006,1.0485538342252225,-0.0003805438600909803,0.9890265096030677,-0.0004036823388705673
2020-06-04,0.9343340611925212,0.00033207388222374415,1.0158168931050016,0.0001949266488176448,1.2453312564472188,0.0019502231565163832,1.1784448739137563,-7.403421510736048e-05,1.013203358864948,3.974504143675105e-05,1.0147271710348857,0.0007901486368313347,0.9573003890677392,-0.0006417211158727914,0.9306238214611755,0.0005486303637887747,1.1688226174979814,-0.00047030469566993567,0.9082781327259993,-0.0004079217802708049,1.0634533312655963,-0.0009736416071415483,0.9936884377816224,-1.331469160567849e-06
2020-06-05,0.9286591354307983,0.00017433720894229738,1.016121890545793,0.00010410415481199335,1.2579341317530226,0.002401446769502058,1.1884312778615826,0.0003107622382329438,1.0241847288967192,0.0004225381504728951,1.0038895065282551,0.0004768719672530405,0.9561788144362989,-0.0008997506909692249,0.9341560091359224,0.0007370734588402178,1.1759320189527411,0.00021630803029242798,0.9112610726547515,-0.000417837894977052,1.0502645887376687,-0.0006538879594975464,0.9909597274411542,0.00030174559635261873
2020-06-08,0.9347714503642842,6.0746095913080406e-05,1.016796873502578,6.887075230392788e-07,1.2541204343141445,0.002103801209544367,1.1820506326747175,0.0004040409050300501,1.0507528115370375,-0.0009018164544197247,0.9991829037465629,0.0004347717327908506,0.9561714713012434,-0.0011348292289706944,0.914234235431657,0.001295434511824161,1.1807247382935477,-0.0001657781287390356,0.8896460019730831,0.00025520422971657105,1.0484831366095853,-0.0005431294404896997,0.9878980687833694,0.00030720205814723824
2020-06-09,0.9242421036023402,0.00026675256528034454,1.0230675900968391,-9.270282305645552e-05,1.2491061908233176,0.001836687809748271,1.1871004925114894,0.00023195419937279554,0.9859370467902911,0.00013518432795177338,1.0009775638829237,0.0005178395674813553,0.9621143434706604,-0.0010474142020328522,0.8918004805114608,0.0016998764194665191,1.1746173425434545,-0.00032773334247692375,0.8563056882247738,0.001110676335893606,1.0495358587415278,-0.00011800290302444241,1.0051519106851372,9.225912360938133e-05
